université,code_filiere,bac_type,year,score_min,page,filiere_name,score_prev_year
Universite de Tunis,10101,Economie,2023,92.3517,1,Licence Arabe,
Universite de Tunis,10101,Economie,2024,73.8752,1,Licence Arabe,92.3517
Universite de Tunis,10101,Economie,2025,86.7539,1,Licence Arabe,73.8752
Universite de Tunis,10101,Informatique,2023,117.4165,1,Licence Arabe,
Universite de Tunis,10101,Informatique,2024,98.1888,1,Licence Arabe,117.4165
Universite de Tunis,10101,Informatique,2025,147.9275,1,Licence Arabe,98.1888
Universite de Tunis,10101,Lettres,2023,99.8685,1,Licence Arabe,
Universite de Tunis,10101,Lettres,2024,97.875,1,Licence Arabe,99.8685
Universite de Tunis,10101,Lettres,2025,95.6117,1,Licence Arabe,97.875
Universite de Tunis,10101,Sciences,2023,122.105,1,Licence Arabe,
Universite de Tunis,10101,Sciences,2024,130.9413,1,Licence Arabe,122.105
Universite de Tunis,10101,Sciences,2025,129.1169,1,Licence Arabe,130.9413
Universite de Tunis,10102,Economie,2023,81.2024,1,Licence Anglais,
Universite de Tunis,10102,Economie,2024,107.5939,1,Licence Anglais,81.2024
Universite de Tunis,10102,Economie,2025,91.4209,1,Licence Anglais,107.5939
Universite de Tunis,10102,Informatique,2023,131.5298,1,Licence Anglais,
Universite de Tunis,10102,Informatique,2024,115.9397,1,Licence Anglais,131.5298
Universite de Tunis,10102,Informatique,2025,153.6574,1,Licence Anglais,115.9397
Universite de Tunis,10102,Lettres,2023,104.785,1,Licence Anglais,
Universite de Tunis,10102,Lettres,2024,115.4263,1,Licence Anglais,104.785
Universite de Tunis,10102,Lettres,2025,112.1467,1,Licence Anglais,115.4263
Universite de Tunis,10102,Mathematiques,2023,136.07,1,Licence Anglais,
Universite de Tunis,10102,Mathematiques,2024,110.4043,1,Licence Anglais,136.07
Universite de Tunis,10102,Mathematiques,2025,155.2196,1,Licence Anglais,110.4043
Universite de Tunis,10102,Sciences,2023,124.25,1,Licence Anglais,
Universite de Tunis,10102,Sciences,2024,151.817,1,Licence Anglais,124.25
Universite de Tunis,10102,Sciences,2025,142.7327,1,Licence Anglais,151.817
Universite de Tunis,10102,Sport,2023,147.625,1,Licence Anglais,
Universite de Tunis,10102,Sport,2024,143.5245,1,Licence Anglais,147.625
Universite de Tunis,10102,Sport,2025,116.2662,1,Licence Anglais,143.5245
Universite de Tunis,10102,Technique,2023,127.633,1,Licence Anglais,
Universite de Tunis,10102,Technique,2024,122.9663,1,Licence Anglais,127.633
Universite de Tunis,10102,Technique,2025,118.555,1,Licence Anglais,122.9663
Universite de Tunis,10103,Economie,2023,82.26,1,Licence Francais,
Universite de Tunis,10103,Economie,2024,79.237,1,Licence Francais,82.26
Universite de Tunis,10103,Economie,2025,80.3931,1,Licence Francais,79.237
Universite de Tunis,10103,Informatique,2023,120.485,1,Licence Francais,
Universite de Tunis,10103,Informatique,2024,110.3652,1,Licence Francais,120.485
Universite de Tunis,10103,Informatique,2025,154.8504,1,Licence Francais,110.3652
Universite de Tunis,10103,Lettres,2023,68.2249,1,Licence Francais,
Universite de Tunis,10103,Lettres,2024,76.2884,1,Licence Francais,68.2249
Universite de Tunis,10103,Lettres,2025,71.7734,1,Licence Francais,76.2884
Universite de Tunis,10103,Mathematiques,2025,156.6159,1,Licence Francais,
Universite de Tunis,10103,Sciences,2023,122.0512,1,Licence Francais,
Universite de Tunis,10103,Sciences,2024,115.1036,1,Licence Francais,122.0512
Universite de Tunis,10103,Sciences,2025,147.3283,1,Licence Francais,115.1036
Universite de Tunis,10103,Sport,2023,113.6502,1,Licence Francais,
Universite de Tunis,10103,Sport,2024,108.5462,1,Licence Francais,113.6502
Universite de Tunis,10103,Sport,2025,155.34,1,Licence Francais,108.5462
Universite de Tunis,10103,Technique,2023,100.7692,1,Licence Francais,
Universite de Tunis,10103,Technique,2024,102.9515,1,Licence Francais,100.7692
Universite de Tunis,10103,Technique,2025,106.5471,1,Licence Francais,102.9515
Universite de Tunis,10104,Economie,2023,103.8435,7,Licence Espagnol,
Universite de Tunis,10104,Economie,2024,106.3848,7,Licence Espagnol,103.8435
Universite de Tunis,10104,Economie,2025,95.6259,7,Licence Espagnol,106.3848
Universite de Tunis,10104,Informatique,2023,96.357,7,Licence Espagnol,
Universite de Tunis,10104,Informatique,2025,133.2311,7,Licence Espagnol,96.357
Universite de Tunis,10104,Lettres,2023,85.2635,7,Licence Espagnol,
